company_id,company_name,country,homepage,code,code6_re,ticker_candidates,ticker_used,market_cap,market_cap_currency,market_cap_source,market_cap_fetched_at_utc,market_cap_error
111,세아제강,KR,,306200.0,306200,306200.KS|306200.KQ,306200.KS,346652377088,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
113,세아홀딩스,KR,,58650.0,058650,058650.KS|058650.KQ,058650.KS,699930902528,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
114,솔루엠,KR,,248070.0,248070,248070.KS|248070.KQ,248070.KS,813354188800,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
115,신세계,KR,,4170.0,004170,004170.KS|004170.KQ,004170.KS,2981011652608,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
116,신세계아이앤씨,KR,,035510,035510,035510.KS|035510.KQ,035510.KS,229525848064,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
117,신한금융그룹,KR,,055550,055550,055550.KS|055550.KQ,055550.KS,44380182282240,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
118,아세아시멘트,KR,,183190.0,183190,183190.KS|183190.KQ,183190.KS,471940235264,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
119,아세아제지,KR,,2310.0,002310,002310.KS|002310.KQ,002310.KS,346740424704,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
120,아시아나항공,KR,,20560.0,020560,020560.KS|020560.KQ,020560.KS,1577257402368,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
121,애경산업,KR,,18250.0,018250,018250.KS|018250.KQ,018250.KS,340099661824,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
122,에스엘,KR,,5850.0,005850,005850.KS|005850.KQ,005850.KS,2427122876416,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
124,에스케이스퀘어,KR,,402340,402340,402340.KS|402340.KQ,402340.KS,75301371510784,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
125,에스케이텔레콤,KR,,017670,017670,017670.KS|017670.KQ,017670.KS,15505109811200,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
128,에코프로머티리얼즈,KR,,450080,450080,450080.KS|450080.KQ,450080.KS,4642765799424,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
129,엔씨소프트,KR,,36570.0,036570,036570.KS|036570.KQ,036570.KS,3927160389632,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
130,엘엑스하우시스,KR,,108670,108670,108670.KS|108670.KQ,108670.KS,302385889280,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
131,영원무역,KR,,111770.0,111770,111770.KS|111770.KQ,111770.KS,3898506215424,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
