Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Rubric,,4,variable_code,VARCHAR(100),N,,평가 대상 변수 코드
Rubric,,5,assessment_status,VARCHAR(30),N,,평가 상태
Rubric,,6,assessment_basis,VARCHAR(100),Y,,평가 기준(문서/수기/혼합 등)
Rubric,,7,source_document_id,BIGINT,Y,FK,근거 문서
Rubric,,8,evidence_id,BIGINT,Y,FK,대표 근거 블록
Rubric,,9,reg_date,TIMESTAMP,N,,레코드 등록 일시
Rubric,,10,registrar,VARCHAR(100),N,,등록 주체
Rubric,,11,update_date,TIMESTAMP,Y,,최종 수정 일시
Rubric,,12,updater,VARCHAR(100),Y,,최종 수정 주체
Rubric,,13,note,TEXT,Y,,추가 메모
Rubric,company_assessment_items,1,assessment_item_id,BIGINT,N,PK,루브릭 평가 항목 식별자
Rubric,,2,assessment_id,BIGINT,N,FK,상위 루브릭 평가
Rubric,,3,item_code,VARCHAR(100),N,,평가 항목 코드
Rubric,,4,item_value_numeric,"NUMERIC(24,6)",Y,,수치형 항목값
Rubric,,5,item_value_text,TEXT,Y,,문자형 항목값
Rubric,,6,item_level_code,VARCHAR(50),Y,,단계형 코드
Rubric,,7,item_score,"NUMERIC(8,5)",Y,,항목 점수
Rubric,,8,evidence_id,BIGINT,Y,FK,근거 블록
Rubric,,9,reg_date,TIMESTAMP,N,,레코드 등록 일시
Rubric,,10,registrar,VARCHAR(100),N,,등록 주체
Rubric,,11,update_date,TIMESTAMP,Y,,최종 수정 일시
Rubric,,12,updater,VARCHAR(100),Y,,최종 수정 주체
Rubric,,13,note,TEXT,Y,,추가 메모
Reference,industry_reference_rules,1,industry_reference_rule_id,BIGINT,N,PK,업종 규칙 식별자
Reference,,2,industry_code,VARCHAR(50),N,,산업 코드
Reference,,3,rule_domain,VARCHAR(50),N,,"규칙 도메인(V1, V2, V7 등)"
Reference,,4,rule_code,VARCHAR(100),N,,"규칙 코드(activity_metric, target_capex_ratio 등)"
Reference,,5,rule_value_numeric,"NUMERIC(24,6)",Y,,수치형 규칙값
Reference,,6,rule_value_text,TEXT,Y,,문자형 규칙값
Reference,,7,effective_from,DATE,Y,,적용 시작일
Reference,,8,effective_to,DATE,Y,,적용 종료일
Reference,,9,reference_source,VARCHAR(200),Y,,참조 출처
Reference,,10,reg_date,TIMESTAMP,N,,레코드 등록 일시
Reference,,11,registrar,VARCHAR(100),N,,등록 주체
Reference,,12,update_date,TIMESTAMP,Y,,최종 수정 일시
Reference,,13,updater,VARCHAR(100),Y,,최종 수정 주체
Reference,,14,note,TEXT,Y,,추가 메모
